,clip_20250420_210732_394888.wav,clip_20250420_210917_091538.wav,clip_20250420_210917_795393.wav,clip_20250420_211007_267286.wav,clip_20250420_211012_749948.wav,clip_20250420_211156_090857.wav,clip_20250420_211221_243177.wav,clip_20250420_211222_396194.wav,clip_20250420_212819_085630.wav,clip_20250420_212819_804075.wav,clip_20250420_212837_822407.wav,clip_20250420_212838_346633.wav,clip_20250420_212839_694854.wav,clip_20250422_013246_241077.wav,clip_20250422_013248_727723.wav,clip_20250422_013304_947066.wav,clip_20250422_013306_773396.wav,clip_20250422_013316_691722.wav,clip_20250422_013317_381989.wav,clip_20250422_013617_139536.wav,clip_20250422_013618_367642.wav,clip_20250422_013630_576096.wav,clip_20250422_013916_214206.wav,clip_20250422_013932_253050.wav,clip_20250422_013940_857315.wav,clip_20250422_013941_846985.wav,clip_20250422_014223_476039.wav,clip_20250422_014224_240575.wav,clip_20250422_014231_558782.wav,clip_20250422_014232_152262.wav,clip_20250422_014233_978762.wav,clip_20250422_014509_000427.wav,clip_20250422_014530_441632.wav,clip_20250422_014539_299377.wav,clip_20250422_014540_168340.wav,clip_20250422_014545_833883.wav,clip_20250422_014554_357297.wav,clip_20250422_014555_360856.wav,clip_20250422_014601_018815.wav,clip_20250422_014602_186248.wav,clip_20250422_014608_150054.wav,clip_20250422_014609_152652.wav,clip_20250422_020716_556729.wav,clip_20250422_020717_362253.wav,clip_20250422_020726_537716.wav,clip_20250422_020728_319602.wav,clip_20250422_020736_041916.wav,clip_20250422_020745_467366.wav,clip_20250422_020746_335865.wav,honk_20250420_232545_975747.wav
MFCC_1,-332.56440528363083,-325.72564476238364,-409.4700102494973,-395.8979437203039,-376.5045370893203,-355.16660413942174,-448.39042009582744,-363.66065446365076,-336.14757735563927,-410.380658354936,-337.79853912656165,-355.685893151596,-332.23783448310047,-334.04525395331774,-315.37117320873676,-348.5049673225883,-279.15274418940083,-363.05982112516466,-369.3953501302148,-347.1708266277913,-325.3998046767108,-311.99438245713253,-385.9481933637375,-323.4773384320412,-367.3220615337475,-328.96121766537266,-362.46814205020473,-311.7263817963955,-315.9001343152619,-367.4666048860486,-333.07078084779937,-327.1260558007368,-357.7974111386072,-300.7313719991544,-353.8292364143527,-414.040993729373,-357.8558887619969,-328.52628628964436,-358.19184192687163,-341.98658152309224,-286.9011153358404,-254.77814792328869,-402.39160878108436,-312.222567288389,-326.5998897879374,-372.92756081962574,-338.02612536837313,-381.07751748026146,-360.30605299101893,-379.4697914867267
MFCC_2,187.40109654760607,188.55661982781405,108.66009857192508,138.67580102227686,166.69931559505298,148.8265364115362,89.69299844970116,163.7608780399267,199.79984509802253,122.21310640028733,165.13491106119605,191.5162293628406,178.99993441890365,202.97912102383987,209.17079470237695,169.90434034864037,222.49272752474084,119.62178894974802,122.08475603066162,182.91124571709832,190.5679128489647,188.94112704501086,148.5515009600213,208.28681311377937,152.0844413780531,178.28892371510213,161.5018599271629,193.35340607033964,197.30187785081193,185.23111424201554,201.58899006294234,206.4715755462252,161.8517889076815,200.41627392699132,158.20568171912566,130.80832655138985,188.0511565880506,195.15314072835656,171.52271231890987,170.5196578575835,169.81901133028586,184.3423888618521,158.56592178225048,204.07493400795678,167.80454707480664,128.39124824311304,125.26651779793322,160.45890011003522,185.08938285039926,97.86709723201504
MFCC_3,-56.82761478999319,-44.3307005454117,-19.142220360489578,-36.07969423800167,-32.69334646340497,-34.53159225185705,-14.644776349676022,-41.318951859995835,-21.182388979431618,-2.01173041529618,-27.774787446068412,-25.90040084242002,-28.136880754583967,-38.23476564926058,-70.23076556985679,-37.75671827115907,-67.19832970910161,-35.30793866163544,-40.361678505193154,-45.428884544999946,-70.81482938438936,-65.18118086184646,-23.916822108164446,-64.2629501757027,-46.73061983468461,-62.165935345330176,-23.205794460436213,-59.28930729395721,-66.79971816552991,-56.33498250091839,-59.86279989689116,-74.6267043688144,-40.7907863615777,-21.03809839050732,-12.998288122367835,-25.737210392479884,-43.63143009211084,-35.23001198814146,-18.07410573535149,-39.11407928354019,-32.11525310135442,-51.61200543742207,-48.511083333641736,-74.14976592022701,-42.87155902796023,-26.195114460249673,5.951623544628778,-24.186721688054565,-24.573802245595036,-54.01428163493499
MFCC_4,-102.04499723804147,-95.81087545568097,-55.46534030770468,-73.17372756312783,-93.39837075752102,-74.27819308257317,-41.62272879855339,-97.13263976813361,-79.69261404158023,-48.223250255540385,-73.74713521297221,-92.95972804368574,-92.35524193350143,-84.79839395277465,-90.73544311559674,-83.76597005859044,-109.50546513109059,-83.62758180374078,-90.21399760946086,-104.69546330521472,-117.36460896544187,-113.23620270212304,-82.15768427040535,-91.10217320042074,-79.98221817779233,-99.55963644399803,-67.69268675137978,-94.78715123607473,-111.43780073890905,-104.64078098281108,-99.10431994371051,-112.44475249941307,-81.31392829645486,-89.64954628438488,-77.99777037936492,-65.2803479100466,-96.70139138427263,-91.36224888730833,-81.68564417452167,-83.75373157204095,-49.28051294716957,-68.4753445242291,-83.03546173346479,-119.98802103139904,-96.95089669690526,-77.59848713460309,-19.105427267946627,-70.67689184054191,-76.807821105206,-101.6180652614522
MFCC_5,-32.79503503259973,-27.12546995846416,-20.63085260912535,-29.033771621659326,-43.499770470456795,-14.987703817679492,-9.819732765849837,-24.744132682375223,-26.759678611785574,-23.400550272585054,-24.909762468829,-34.91283428999916,-37.62208467663943,-17.067236441751543,-1.4592702254468333,-25.848106238429345,-24.587084679019704,-34.15934219797622,-35.66213948465926,-31.45473617415247,-23.207142514801728,-23.983366647583445,-41.20986291397378,-13.128194196870561,-25.891900832259246,-27.94365738420197,-18.441277456013893,-18.06222239216037,-14.893672212209953,-23.620895998233692,-13.536855468784807,-15.508746891112606,-22.660821020567212,-34.052213043705095,-37.25885071073804,-19.027079544588513,-22.72056472339614,-33.376881696040286,-38.97012646347942,-25.84297154851006,16.59272687584501,16.872276960129916,-17.253239071557402,-20.323127381882475,-22.911620578988636,-27.20949999598291,3.7716584292943938,-23.679292298872067,-24.06737121127325,-43.08128970218013
MFCC_6,-19.84107608261718,-5.924487138831571,-3.159714566874755,-17.315978051667418,-12.856940075926934,-2.959836058380899,2.595262980799483,13.585568539201061,-19.51858952731604,-9.798424479342822,-9.318035966339343,-5.734905927499005,-9.43705547970382,-11.360264899696993,-10.044889396201338,-13.162998228848311,-18.063666457170875,-2.35497055323723,0.6171400309386953,0.40262803928794466,1.5518173819429917,3.7125877968494523,-18.197391998747754,-25.918857644771524,-21.303375011536197,-18.98656205179982,-13.319916319326559,-20.096107430846324,5.514436645151059,-3.6677755214738537,-1.9826358746533066,-4.4179073241193,-16.210997667422422,-10.38595851846252,-7.616025499883209,-3.795562280591281,-2.86265504648136,-26.783849297673626,-19.703747005649237,-16.372242845603335,-6.716485389499963,3.8805944787279794,-2.703871927162463,2.8327780383611767,11.450601943899033,7.7226441745827525,-14.47903341840364,-14.809839339382867,-18.12088257132841,10.991234644870133
MFCC_7,-37.92956957218633,-27.02595619282686,-13.46134621020637,-23.36740435089901,-17.01492839425964,-33.96688097100969,-16.57483098374955,-15.825754209968741,-50.6849279178543,-25.65973861953468,-26.471614565784325,-27.706665980693636,-27.030559303556313,-45.18738228536253,-48.701709348653104,-36.69301230499862,-48.398555218403786,-16.36350099440712,-13.183579435835037,-26.434194379738702,-36.70152195070293,-33.137708211665455,-29.164634588649616,-52.02598554148626,-33.428468677765224,-37.25206687470475,-39.71881083284209,-48.55872432930237,-36.30316004302744,-35.32474735407522,-39.705267886515635,-41.129936401050095,-41.045546375370186,-36.978260358939,-26.85836777401371,-29.360987815552143,-39.944026575872094,-55.25319748503308,-38.559615504873975,-39.23058814839906,-56.18317058274528,-48.95554911182196,-26.670307873060274,-36.290409254699384,-19.775778620324115,-11.451293773311631,-44.73636945345063,-35.55090941729164,-44.526625382384545,13.92758894190411
MFCC_8,-28.85009665710048,-26.950853537950795,-15.270102105437847,-13.595865834466073,-16.13875837739897,-35.297347542924655,-25.189757587555697,-37.80823525840378,-46.26136904612292,-30.898245135272422,-28.387863715725555,-33.12106890254345,-29.87293000773942,-41.75160931700541,-35.67427143368677,-31.76795576337779,-36.240095630170416,-23.424921436494653,-21.31872134245514,-28.598365797550148,-35.439996494482166,-45.4664302621822,-24.954083460596095,-26.425200085401443,-20.620116314632668,-23.275412226908056,-31.925886156486605,-26.0237230020001,-37.27791187831624,-32.104467222356476,-38.06382333488516,-31.064061558971282,-30.02867235613577,-42.680711597753806,-39.2923345593364,-37.2196329013208,-43.99876846748374,-42.64348933784272,-38.88669750926419,-32.95653286483261,-38.207166124418585,-43.577407253646015,-27.73051240676127,-34.04506566089272,-36.49164880424316,-29.704690499427496,-36.38246743309198,-30.487939632379533,-35.420649572132824,-2.62017358601877
